#time,flux,flux_err,residuals
1.518861583913632558e+03,1.468138500000000013e+00,3.479843858866592948e-02,1.036273047752391853e-02
1.518862972835931259e+03,1.481723099999999960e+00,3.479814243816551494e-02,5.302753552910273449e-02
1.518864361758231325e+03,1.450049399999999933e+00,3.476800322794695169e-02,4.768772420693265929e-02
1.518865750680530937e+03,1.396843300000000010e+00,3.458579466696989207e-02,1.722854318616714314e-02
1.518867139602829639e+03,1.371720599999999957e+00,3.453657078468073960e-02,1.286041276521055973e-02
1.518868528525128795e+03,1.347210199999999913e+00,3.444000213433953683e-02,8.357639373904473395e-03
1.518869917446962290e+03,1.296038699999999988e+00,3.432319828033767589e-02,-2.453822280458732574e-02
1.518871306369261447e+03,1.283549800000000074e+00,3.422543192399039869e-02,-2.029855158172998164e-02
1.518872695291560831e+03,1.259109000000000034e+00,3.420219852411321426e-02,-3.014968276887367016e-02
1.518874084213860215e+03,1.227602700000000047e+00,3.409274339580291302e-02,-4.821041698295253086e-02
1.518875473136159371e+03,1.238482599999999989e+00,3.412300054206147265e-02,-2.423274843945208770e-02
1.518876862058457846e+03,1.236653900000000084e+00,3.408375404875510495e-02,-1.397525831027534790e-02
1.518878250980292023e+03,1.226806999999999981e+00,3.403843253898904131e-02,-1.264640500881245889e-02
1.518879639902592089e+03,1.218170399999999987e+00,3.415173238220287760e-02,-1.144496007730703285e-02
1.518881028824890336e+03,1.178678399999999904e+00,3.398030841688230025e-02,-4.178069856240415603e-02
1.518882417747189038e+03,1.202117399999999892e+00,3.401505761586386817e-02,-9.330012668396352529e-03
1.518883806669489104e+03,1.182288299999999959e+00,3.402343631630463244e-02,-2.075867674290683002e-02
1.518885195591323054e+03,1.185437000000000074e+00,3.390635989901035624e-02,-1.015852252331649920e-02
1.518886584513621756e+03,1.167515199999999975e+00,3.390233959044729184e-02,-2.109014942324442810e-02
1.518887973435920912e+03,1.178139199999999942e+00,3.405991786467355009e-02,-3.530834540528025173e-03
1.518889362358220069e+03,1.179324999999999957e+00,3.388106654963475572e-02,4.172440249821130279e-03
1.518890751280053792e+03,1.162235600000000035e+00,3.392074285428683944e-02,-6.779479117762576314e-03
1.518892140202353175e+03,1.156745200000000029e+00,3.391137611191108459e-02,-6.770981741755986195e-03
1.518893529124652332e+03,1.181430299999999933e+00,3.391320805173219516e-02,2.312446340954252277e-02
1.518894918046951489e+03,1.148964199999999991e+00,3.386594190770680912e-02,-4.122224858166463959e-03
1.518896306968784302e+03,1.165177600000000036e+00,3.393457544137672144e-02,1.704612194408445733e-02
1.518897695891084140e+03,1.180133600000000005e+00,3.393566307374547980e-02,3.671566171286421570e-02
1.518899084813384206e+03,1.164485699999999957e+00,3.385082512818152894e-02,2.533638113849784324e-02
1.518900473735217020e+03,1.176444599999999951e+00,3.394862555494035372e-02,4.138058912694975167e-02
1.518901862657515494e+03,1.153238100000000044e+00,3.389405261803762198e-02,2.230247552821298246e-02
1.518903251579815560e+03,1.147706300000000068e+00,3.385833896432906276e-02,2.072943378052967411e-02
1.518904640501649737e+03,1.137067999999999968e+00,3.375849169207625899e-02,1.370925762250627469e-02
1.518906029423948212e+03,1.132490500000000067e+00,3.376536343200609025e-02,1.262199931819363297e-02
1.518907418346247368e+03,1.132823499999999983e+00,3.382840941818157643e-02,1.650370540334051422e-02
1.518908807268080864e+03,1.143186500000000105e+00,3.379654310017742719e-02,3.029644012421260982e-02
1.518910196190380248e+03,1.129250499999999935e+00,3.376063288640222121e-02,1.968171658984382497e-02
1.518911585112679631e+03,1.108582100000000015e+00,3.385264396399819548e-02,3.563168677858000871e-03
1.518914362956812283e+03,1.113952400000000065e+00,3.371075118309004026e-02,1.351261713993999122e-02
1.518915751879110985e+03,1.105577899999999891e+00,3.373749907695879763e-02,8.126516469207079735e-03
1.518917140800944935e+03,1.100370300000000023e+00,3.369156692058569019e-02,5.840105041524028956e-03
1.518918529723245001e+03,1.078823800000000110e+00,3.366362918311351787e-02,-1.296859705982478066e-02
1.518919918645543476e+03,1.101278999999999897e+00,3.369620049655668720e-02,1.217769125283220399e-02
1.518921307567376289e+03,1.083545999999999898e+00,3.360323544743727686e-02,-2.788404949413611500e-03
1.518922696489676355e+03,1.092292800000000064e+00,3.364360888512572118e-02,8.681997555571993250e-03
1.518924085411510532e+03,1.078532700000000011e+00,3.361644952551744864e-02,-2.498999878930902030e-03
1.518925474333809007e+03,1.056848299999999963e+00,3.360472668314287703e-02,-2.163143850771952204e-02
1.518926863255642502e+03,1.066545700000000041e+00,3.365193516954870928e-02,-9.303295503059810442e-03
1.518928252177941886e+03,1.071296699999999991e+00,3.361929571528243788e-02,-1.946214702891444631e-03
1.518929641100241270e+03,1.085057399999999950e+00,3.362326622862862879e-02,1.440001687640406376e-02
1.518931030022074765e+03,1.054334199999999999e+00,3.357609181263433717e-02,-1.384411147135535328e-02
1.518932418944373921e+03,1.063928500000000055e+00,3.359193193320486603e-02,-1.778903422885660598e-03
1.518933807866207417e+03,1.046241900000000058e+00,3.354310379184988894e-02,-1.691341532255228458e-02
1.518935196788506119e+03,1.054672099999999890e+00,3.365910568077984388e-02,-5.937511562282175165e-03
1.518936585710340069e+03,1.051925400000000010e+00,3.355565480730525463e-02,-6.141705128898269569e-03
1.518937974632640135e+03,1.046563899999999991e+00,3.362634829047358997e-02,-9.037472670190978621e-03
1.518939363554473175e+03,1.047025600000000001e+00,3.355410853478099642e-02,-6.103424576806426062e-03
1.518940752476771422e+03,1.044367199999999940e+00,3.355230804457055155e-02,-6.206635844259827256e-03
1.518942141398605827e+03,1.042783000000000015e+00,3.351558800332077315e-02,-5.227641862775044869e-03
1.518943530320905893e+03,1.039946400000000049e+00,3.354021829007156758e-02,-5.558414660336236449e-03
1.518944919242738479e+03,1.042749399999999937e+00,3.349181733926143156e-02,-2.332542560877833709e-04
1.518946308165037635e+03,1.036492200000000086e+00,3.352135638607651319e-02,-3.884344467065370399e-03
1.518947697086871358e+03,1.045249600000000001e+00,3.350598800966593516e-02,7.496710539291727773e-03
1.518949086009170742e+03,1.034648100000000071e+00,3.349778228208381836e-02,-4.613759436515752627e-04
